target_mbps,achieved_offered_load_mbps,achieved_publish_goodput_mbps,achieved_e2e_goodput_mbps,publish_to_deliver_p50_us,publish_to_deliver_p95_us,publish_to_deliver_p99_us,pub_submit_p50_us,pub_submit_p95_us,pub_submit_p99_us,pub_ack_p50_us,pub_ack_p95_us,pub_ack_p99_us,pub_ordered_p50_us,pub_ordered_p95_us,pub_ordered_p99_us,trial,mode,sequencer,order,ack_level,message_size_bytes,total_message_size_bytes,message_count,offered_wire_bytes,offered_payload_bytes,artifact_dir
10,10.000,9.404,9.404,133165.000,214955.000,235073.000,218530.000,218841.000,218949.000,3974.000,4318.000,4419.000,3974.000,4318.000,4419.000,1,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/001_10mbps/raw/burst/target_10mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial1
10,10.000,9.404,9.404,133371.000,215538.000,262206.000,218557.000,218869.000,219065.000,3929.000,4267.000,4466.000,3929.000,4267.000,4466.000,2,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/001_10mbps/raw/burst/target_10mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial2
10,10.000,9.404,9.404,133470.000,215792.000,287336.000,218562.000,218807.000,219098.000,3933.000,4227.000,4683.000,3933.000,4227.000,4683.000,3,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/001_10mbps/raw/burst/target_10mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial3
10,10.000,9.411,9.411,133230.000,214719.000,233750.000,218541.000,218776.000,218848.000,3836.000,4147.000,4345.000,3836.000,4147.000,4345.000,4,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/001_10mbps/raw/burst/target_10mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial4
10,10.000,9.411,9.411,133347.000,215576.000,262257.000,218441.000,218759.000,219011.000,3904.000,4229.000,4444.000,3904.000,4229.000,4444.000,5,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/001_10mbps/raw/burst/target_10mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial5
48,48.000,45.145,45.145,53502.000,85239.000,365966.000,60477.000,61034.000,61217.000,4251.000,4914.000,5473.000,4251.000,4914.000,5473.000,1,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/002_48mbps/raw/burst/target_48mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial1
48,48.000,45.029,45.029,53460.000,92256.000,432832.000,60493.000,61115.000,61346.000,4187.000,4925.000,5232.000,4187.000,4925.000,5232.000,2,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/002_48mbps/raw/burst/target_48mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial2
48,48.000,45.145,45.145,53686.000,162448.000,669264.000,60469.000,61198.000,61604.000,4253.000,4986.000,5519.000,4253.000,4986.000,5519.000,3,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/002_48mbps/raw/burst/target_48mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial3
48,48.000,45.146,45.146,53434.000,84796.000,357966.000,60371.000,61125.000,61556.000,4115.000,4837.000,5426.000,4115.000,4837.000,5426.000,4,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/002_48mbps/raw/burst/target_48mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial4
48,48.000,45.143,45.143,53766.000,150849.000,710912.000,60480.000,61080.000,61287.000,4244.000,4946.000,5059.000,4244.000,4946.000,5059.000,5,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/002_48mbps/raw/burst/target_48mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial5
68,68.000,63.925,63.924,52262.000,274916.000,588223.000,48660.000,49568.000,49655.000,4412.000,5545.000,5634.000,4412.000,5545.000,5634.000,1,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/003_68mbps/raw/burst/target_68mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial1
68,68.000,63.351,63.351,52369.000,369426.000,717162.000,48944.000,49540.000,49602.000,4533.000,5580.000,5651.000,4533.000,5580.000,5651.000,2,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/003_68mbps/raw/burst/target_68mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial2
68,68.000,63.931,63.930,51097.000,172676.000,383142.000,48618.000,49489.000,49629.000,4495.000,5165.000,5406.000,4495.000,5165.000,5406.000,3,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/003_68mbps/raw/burst/target_68mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial3
68,68.000,63.924,63.923,52106.000,393738.000,812091.000,48594.000,49564.000,49680.000,4256.000,5511.000,5775.000,4256.000,5511.000,5775.000,4,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/003_68mbps/raw/burst/target_68mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial4
68,68.000,63.927,63.926,51756.000,262988.000,593554.000,48722.000,49817.000,50656.000,4471.000,5626.000,5992.000,4471.000,5626.000,5992.000,5,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/003_68mbps/raw/burst/target_68mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial5
87,87.000,81.429,81.429,65741.000,998456.000,1054192.000,42985.000,45524.000,49945.000,3965.000,4874.000,6156.000,3965.000,4874.000,6156.000,1,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/004_87mbps/raw/burst/target_87mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial1
87,87.000,81.004,81.004,68135.000,1369421.000,1432598.000,42984.000,52286.000,55730.000,3936.000,6594.000,7840.000,3936.000,6594.000,7840.000,2,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/004_87mbps/raw/burst/target_87mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial2
87,87.000,81.752,81.751,68756.000,1167397.000,1241043.000,43069.000,44281.000,49858.000,4213.000,5216.000,6503.000,4213.000,5216.000,6503.000,3,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/004_87mbps/raw/burst/target_87mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial3
87,87.000,81.750,81.749,65029.000,663429.000,705790.000,42946.000,43336.000,44377.000,3978.000,4929.000,5662.000,3978.000,4929.000,5662.000,4,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/004_87mbps/raw/burst/target_87mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial4
87,87.000,81.745,81.745,67481.000,1053903.000,1198750.000,44033.000,45180.000,46065.000,4857.000,6312.000,6797.000,4857.000,6312.000,6797.000,5,burst,EMBARCADERO,5,1,1024,1073741824,1048576,1140850688,1073741824,/home/domin/Embarcadero-sessions/eval-matrix/data/latency_vs_load/20260708_e3_order5_slo_curve/embarcadero_order5_ack1_rf1/run_20260708T142500Z/points/004_87mbps/raw/burst/target_87mbps/EMBARCADERO_order5_ack1_msg1024_bytes1073741824_trial5
